id,subject,student_id,grade_level,teacher_id,instructional_minutes,assessment_year,assessment_score
7243,math,2056,10,13,170,2016,99.04
929,math,265,12,111,110,2016,66.73
8949,math,2535,10,18,90,2016,69.52
7080,language,2007,12,58,170,2016,50.97
6021,math,1708,9,1,150,2016,69.34
1343,math,382,10,5,130,2016,99.8
10018,language,2836,10,59,130,2015,85.72
2829,math,801,10,101,110,2016,91.42
4064,language,1150,9,52,110,2016,25.74
1339,math,381,9,40,110,2016,91.22
2926,language,827,12,66,110,2016,99.35
5863,math,1659,11,1,90,2016,0.0
7240,language,2055,10,79,170,2016,87.31
15,math,6,9,35,150,2016,89.75
2951,math,834,12,94,170,2016,60.63
563,math,163,9,46,170,2015,37.83
9436,language,2673,12,90,150,2016,96.09
5731,math,1622,10,28,130,2015,80.91
3224,language,910,11,96,110,2016,57.64
8906,language,2523,12,69,110,2016,98.76
7639,math,2165,11,100,170,2016,100.0
3890,language,1102,10,71,90,2015,48.85
356,language,103,9,98,130,2015,61.94
10110,language,2861,11,77,130,2015,93.63
5622,language,1591,12,71,130,2016,96.49
6259,math,1777,11,95,110,2015,70.7
7928,language,2248,9,59,130,2016,28.3
1103,math,315,11,26,150,2015,80.4
5164,language,1457,10,85,150,2016,73.53
9638,language,2733,10,106,110,2015,60.25
8132,language,2307,9,53,110,2015,73.91
706,language,202,11,91,130,2016,89.4
1249,math,355,9,101,170,2015,70.36
2198,language,624,10,58,130,2015,81.62
4200,language,1188,12,114,150,2016,9.22
9152,language,2591,9,94,130,2015,43.35
8408,language,2384,9,72,110,2015,52.18
7917,math,2245,9,25,170,2016,98.46
10167,math,2878,11,106,130,2015,43.64
7280,language,2066,10,97,90,2016,65.8
6703,math,1899,12,30,90,2016,0.0
7989,math,2266,11,6,130,2015,84.45
10563,math,2992,11,36,150,2015,92.99
10360,language,2931,12,108,110,2016,22.57
6892,language,1954,9,83,90,2015,66.43
8539,math,2421,11,14,90,2016,35.99
2293,math,651,11,29,150,2016,87.75
10394,language,2941,9,64,130,2015,84.57
8467,math,2401,11,101,90,2015,49.46
3618,language,1025,9,113,90,2015,51.3
519,math,151,11,9,130,2016,47.22
7024,language,1991,9,72,170,2015,95.99
7028,language,1992,9,87,90,2016,74.11
3564,language,1008,9,66,150,2016,73.5
2890,language,818,9,95,150,2015,63.43
5133,math,1449,12,96,110,2016,43.39
2780,language,788,9,91,110,2015,87.62
4296,language,1214,10,89,130,2015,27.06
3383,math,956,10,45,130,2016,99.28
3857,math,1093,11,35,170,2016,96.36
1803,math,513,9,107,110,2015,69.65
9692,language,2747,9,110,150,2015,70.29
4772,language,1349,10,57,150,2015,79.32
7281,math,2067,10,13,110,2015,69.4
8927,math,2530,10,22,170,2015,100.0
6358,language,1803,11,94,150,2016,74.59
5204,language,1469,11,112,90,2015,63.29
6387,math,1812,11,39,150,2015,93.84
7172,language,2034,11,58,110,2016,51.24
3136,language,885,11,81,150,2016,90.22
4435,math,1252,10,113,90,2016,56.51
3369,math,952,11,109,130,2015,35.08
8406,language,2383,12,58,150,2016,79.62
7505,math,2130,9,108,130,2015,50.48
8990,language,2546,10,95,150,2016,30.6
9632,language,2731,11,88,130,2015,98.68
6800,language,1927,10,90,110,2016,58.65
7945,math,2254,10,25,90,2015,56.3
7581,math,2149,11,104,90,2016,62.77
4895,math,1384,10,45,90,2016,87.48
3231,math,913,10,13,170,2016,62.42
9429,math,2671,10,3,90,2016,50.83
1695,math,481,11,100,150,2016,95.51
6067,math,1723,9,42,170,2015,93.44
3225,math,911,9,28,130,2016,62.6
1674,language,474,11,74,170,2016,91.21
4704,language,1330,9,112,110,2016,79.1
9886,language,2801,11,57,170,2015,70.0
6401,math,1816,9,32,90,2016,94.82
4358,language,1231,9,87,130,2015,54.61
3076,language,868,11,62,110,2015,46.4
671,math,193,11,3,110,2015,45.84
8346,language,2368,9,102,110,2015,74.04
8786,language,2489,9,60,110,2015,57.55
4371,math,1235,11,97,150,2016,55.33
4538,language,1281,10,65,130,2015,77.45
10406,language,2945,10,75,130,2015,86.66
6745,math,1912,11,8,130,2016,69.83
1906,language,541,12,110,170,2016,54.51
4840,language,1369,9,53,90,2015,94.76
2571,math,728,11,44,130,2016,97.25
8780,language,2487,12,68,170,2016,97.79
1570,language,446,10,90,150,2016,88.25
6280,language,1783,10,76,110,2015,56.1
106,language,32,12,86,110,2016,77.11
1776,language,504,10,51,130,2016,69.82
6960,language,1973,9,90,90,2016,61.05
5623,math,1592,9,31,90,2016,64.02
3734,language,1057,11,96,90,2016,49.84
9003,math,2550,9,19,170,2016,97.38
8540,language,2421,11,98,90,2016,65.28
2039,math,580,11,32,90,2015,87.81
7722,language,2189,10,110,110,2016,98.06
10552,language,2988,10,79,170,2015,93.22
144,language,43,11,66,110,2015,72.58
8999,math,2549,10,30,170,2015,95.11
5870,language,1661,10,110,90,2015,56.93
5226,language,1474,10,61,150,2016,71.9
3247,math,919,9,109,130,2015,67.82
178,language,53,11,99,170,2016,76.0
2548,language,721,12,71,90,2016,84.77
1302,language,369,9,77,130,2016,66.19
4827,math,1365,11,95,150,2015,41.42
9877,math,2798,10,36,150,2016,85.62
1850,language,526,11,94,170,2015,81.81
1068,language,304,10,88,110,2016,70.16
9809,math,2779,10,26,110,2016,98.09
8832,language,2504,9,108,130,2015,54.33
2542,language,720,9,58,110,2015,74.54
9233,math,2615,10,29,130,2015,72.11
8444,language,2393,10,66,170,2015,0.0
9710,language,2751,11,57,130,2016,88.81
3438,language,972,11,75,90,2015,47.85
4153,math,1175,10,25,170,2015,89.97
5103,math,1442,9,16,150,2015,88.0
10514,language,2977,10,70,150,2015,74.79
4310,language,1217,12,62,110,2016,78.68
8799,math,2493,9,10,110,2016,44.3
3853,math,1092,10,31,170,2016,100.0
5378,language,1520,9,88,130,2015,76.83
5175,math,1461,9,98,150,2016,40.01
2412,language,682,10,53,130,2016,99.6
10255,math,2902,10,31,170,2016,100.0
9985,math,2828,9,45,130,2015,56.92
5321,math,1502,11,11,130,2016,99.17
9267,math,2624,11,28,130,2016,90.85
8746,language,2478,12,70,90,2016,49.11
7487,math,2125,11,23,110,2015,90.75
7606,language,2156,10,90,110,2015,72.79
10391,math,2940,10,28,150,2016,94.2
500,language,146,11,80,130,2016,63.21
5307,math,1498,9,98,150,2016,67.76
8329,math,2363,12,112,130,2016,93.88
8846,language,2508,11,97,110,2015,64.76
4230,language,1196,11,106,150,2016,100.0
8434,language,2390,11,51,90,2016,89.59
4353,math,1230,10,3,170,2015,96.27
1317,math,374,11,5,90,2015,30.7
9977,math,2826,11,101,150,2015,94.72
247,math,73,10,19,110,2016,76.57
3975,math,1125,9,28,110,2016,70.81
2315,math,657,11,6,130,2015,67.07
885,math,252,12,50,90,2016,42.68
3520,language,996,11,85,90,2015,79.15
6435,math,1826,9,91,130,2016,45.51
10108,language,2860,11,82,130,2016,79.26
2275,math,646,11,46,110,2016,71.42
6938,language,1967,11,74,130,2015,65.88
3223,math,910,11,38,130,2016,75.49
4728,language,1338,9,115,130,2015,50.71
5356,language,1514,9,79,150,2016,57.97
7873,math,2233,10,106,90,2015,93.52
10523,math,2981,11,108,150,2015,83.34
1519,math,433,11,35,130,2015,41.72
252,language,74,12,62,90,2016,52.23
1309,math,372,11,44,170,2015,31.54
241,math,72,9,100,110,2015,84.13
6809,math,1930,9,28,170,2016,63.01
8803,math,2495,11,30,130,2015,88.32
5334,language,1505,10,66,90,2016,89.28
2058,language,585,9,51,130,2015,70.26
9501,math,2693,11,17,170,2016,0.0
694,language,199,10,77,170,2016,71.91
4710,language,1333,9,74,110,2015,73.24
6661,math,1888,12,43,110,2016,53.51
4471,math,1262,11,27,110,2015,81.16
10227,math,2894,11,12,130,2016,61.75
7549,math,2141,12,41,150,2016,100.0
5645,math,1598,11,12,170,2016,45.77
9836,language,2786,10,94,170,2016,79.91
3672,language,1040,11,70,90,2015,91.75
9612,language,2725,10,112,110,2016,91.91
1399,math,399,11,91,150,2016,98.27
4499,math,1269,11,6,170,2016,45.74
10189,math,2884,11,9,90,2015,36.24
5417,math,1531,9,50,150,2016,86.24
8912,language,2525,9,59,170,2016,83.62
10474,language,2965,9,61,170,2015,63.59
6694,language,1897,9,72,130,2015,48.03
6018,language,1707,10,60,110,2015,92.9
6598,language,1871,9,81,110,2015,83.91
7828,language,2221,9,84,90,2015,59.07
2358,language,668,11,60,150,2016,60.52
5105,math,1442,10,114,130,2016,27.38
7238,language,2055,9,90,170,2015,83.14
10402,language,2943,12,64,90,2016,78.72
5022,language,1418,10,109,130,2015,83.82
2514,language,711,11,51,130,2016,78.31
4173,math,1181,11,47,110,2016,92.81
5770,language,1632,9,64,90,2016,63.09
4641,math,1312,10,49,170,2016,99.6
304,language,88,12,56,170,2016,80.44
5480,language,1550,9,62,130,2015,92.86
3158,language,891,12,72,90,2016,73.66
8253,math,2342,9,26,90,2015,62.38
6823,math,1935,9,14,170,2016,47.08
2934,language,830,9,52,130,2015,73.02
2132,language,605,11,84,150,2015,84.55
9662,language,2739,10,98,150,2016,35.81
4223,math,1195,11,47,110,2015,95.37
10302,language,2914,11,59,110,2015,95.74
5445,math,1540,11,28,90,2016,77.57
950,language,270,12,80,110,2016,70.77
542,language,157,12,112,170,2016,99.0
5173,math,1460,12,95,130,2016,71.93
6481,math,1840,10,14,110,2016,63.25
9634,language,2731,12,93,110,2016,84.24
5885,math,1666,10,2,90,2015,92.26
4967,math,1404,11,26,110,2015,50.7
9771,math,2769,9,40,90,2016,84.18
288,language,83,12,64,90,2016,88.0
9056,language,2564,12,53,110,2016,61.09
7921,math,2246,11,28,110,2016,98.95
3708,language,1051,9,66,150,2015,97.95
1126,language,320,12,73,130,2016,99.47
4582,language,1295,9,107,130,2016,86.41
676,language,194,11,72,150,2015,72.13
3922,language,1110,12,112,130,2016,83.75
1782,language,506,9,97,90,2016,54.85
6054,language,1718,10,80,130,2016,93.82
351,math,102,10,112,130,2015,87.38
10206,language,2888,9,81,170,2015,91.14
100,language,31,9,74,170,2015,86.59
8172,language,2318,11,92,90,2015,41.25
7124,language,2021,9,84,110,2016,61.78
6608,language,1873,12,87,110,2016,92.22
4081,math,1155,12,114,150,2016,51.19
9823,math,2783,10,23,150,2015,64.4
3111,math,879,11,1,170,2015,70.53
8254,language,2342,9,82,90,2015,64.29
2183,math,620,12,43,110,2016,60.6
6935,math,1966,12,20,110,2016,97.4
8905,math,2523,12,46,150,2016,59.16
1294,language,367,10,82,90,2015,89.8
7615,math,2158,11,22,170,2016,100.0
5521,math,1563,9,14,110,2015,69.35
6119,math,1739,12,9,170,2016,99.07
6065,math,1722,9,25,90,2016,0.0
10338,language,2925,10,81,110,2015,61.46
9115,math,2582,9,41,90,2015,64.72
5443,math,1540,10,34,170,2015,48.9
863,math,247,11,27,150,2015,71.38
6232,language,1770,11,57,150,2015,91.15
3787,math,1074,10,1,170,2015,89.85
6442,language,1829,9,79,130,2015,38.52
7153,math,2030,9,29,150,2015,79.83
7322,language,2078,9,111,110,2015,56.45
5077,math,1433,11,92,170,2016,96.71
5057,math,1428,9,98,110,2015,65.38
4973,math,1405,10,96,130,2016,71.54
7174,language,2035,9,86,110,2016,65.49
8784,language,2488,11,60,90,2016,65.78
1753,math,498,12,29,90,2016,98.69
5160,language,1456,12,97,170,2016,30.98
8344,language,2367,12,81,110,2016,54.47
9996,language,2830,11,114,110,2016,64.18
2806,language,795,9,89,110,2016,55.53
6688,language,1895,10,76,110,2016,80.57
2968,language,838,12,73,130,2016,86.53
2228,language,632,11,64,110,2016,64.32
9217,math,2610,9,15,170,2015,88.89
2353,math,667,12,18,150,2016,0.0
4472,language,1262,11,75,170,2015,76.82
8374,language,2375,10,83,110,2015,95.84
379,math,110,9,5,170,2016,89.6
9034,language,2559,10,83,170,2015,90.33
7184,language,2038,9,62,130,2016,49.11
14,language,5,10,81,90,2016,91.22
1878,language,534,10,54,130,2015,49.51
3732,language,1057,10,76,110,2015,92.01
10059,math,2847,9,97,110,2015,30.03
3447,math,974,10,29,170,2016,76.6
6004,language,1703,9,65,130,2016,33.4
7707,math,2185,11,5,110,2015,65.3
10560,language,2990,12,104,150,2016,96.15
2745,math,778,10,29,170,2015,77.44
1559,math,444,10,3,110,2015,47.33
5424,language,1533,12,69,90,2016,66.4
5768,language,1631,10,74,170,2016,90.98
7310,language,2075,9,76,90,2015,63.44
9456,language,2679,11,76,110,2016,59.3
7141,math,2026,12,40,150,2016,73.6
6390,language,1812,12,77,130,2016,97.5
125,math,38,11,42,110,2015,80.1
10581,math,2998,11,4,150,2015,83.84
8794,language,2491,10,76,150,2016,64.77
8104,language,2298,11,89,90,2016,79.05
6943,math,1968,10,15,90,2016,92.33
3207,math,905,10,47,90,2015,88.9
571,math,165,9,34,110,2016,45.27
4013,math,1136,9,34,90,2015,62.13
2289,math,650,10,25,130,2016,52.19
9875,math,2798,9,114,170,2015,-8.28
2808,language,796,10,58,90,2015,93.64
3077,math,868,12,100,110,2016,83.56
9857,math,2793,9,24,110,2015,27.5
953,math,271,12,22,150,2016,83.05
2113,math,600,11,30,170,2016,98.35
1182,language,336,11,57,170,2016,93.95
7812,language,2216,11,106,90,2016,70.28
2336,language,662,12,91,90,2016,95.39
8066,language,2286,10,94,110,2016,44.35
9524,language,2699,12,84,130,2016,49.19
3069,math,866,11,23,90,2015,69.15
6093,math,1730,10,6,150,2016,80.42
9176,language,2598,10,80,170,2016,94.2
1677,math,476,9,101,90,2016,96.55
361,math,104,10,18,130,2016,59.52
4863,math,1376,11,95,90,2015,79.67
8019,math,2273,10,104,110,2016,82.6
5483,math,1551,9,1,170,2016,97.45
8916,language,2527,11,80,170,2015,92.44
6723,math,1906,11,39,170,2015,0.0
2869,math,812,11,25,110,2016,80.82
4405,math,1244,11,20,170,2016,85.69
9386,language,2659,11,52,90,2015,59.83
1348,language,383,10,63,110,2016,66.92
378,language,109,9,67,90,2016,84.82
8041,math,2280,11,25,170,2015,77.01
6019,math,1707,11,26,150,2016,69.18
9667,math,2741,11,7,110,2015,93.68
9334,language,2643,10,69,130,2015,44.32
7740,language,2194,12,76,110,2016,32.9
3309,math,935,10,21,90,2016,53.84
5383,math,1521,10,43,130,2016,68.74
3155,math,891,11,41,130,2015,51.9
7038,language,1996,9,99,150,2016,98.98
2234,language,634,10,54,110,2016,59.41
4757,math,1345,11,2,170,2016,53.46
1158,language,330,9,52,130,2016,54.36
4131,math,1169,11,46,90,2016,59.03
4852,language,1372,11,62,110,2016,98.07
7627,math,2162,9,8,130,2015,32.6
2010,language,572,10,64,150,2016,85.35
1120,language,319,9,110,150,2015,69.09
2653,math,752,10,2,130,2016,96.62
341,math,99,11,42,130,2016,73.95
5153,math,1454,12,29,90,2016,76.91
5262,language,1485,11,81,130,2016,76.14
8542,language,2422,9,72,110,2015,99.43
4317,math,1220,10,10,110,2016,55.75
9610,language,2725,9,54,90,2015,48.64
3379,math,955,9,50,130,2016,46.0
8654,language,2452,10,82,90,2016,95.22
211,math,64,10,23,110,2015,57.01
5643,math,1598,10,10,110,2015,53.22
8813,math,2497,11,22,90,2016,85.2
5386,language,1522,11,87,130,2015,96.93
8904,language,2523,11,72,110,2015,92.35
1416,language,404,12,106,130,2016,80.28
9442,language,2675,9,90,170,2016,95.08
5556,language,1573,9,102,150,2015,81.54
2864,language,811,10,76,130,2015,65.99
6621,math,1878,9,96,90,2015,91.56
4730,language,1338,10,54,130,2016,64.39
8091,math,2294,10,34,150,2016,98.76
1297,math,368,9,101,130,2015,72.99
8825,math,2502,10,31,150,2015,71.5
5416,language,1530,12,72,130,2016,65.46
1421,math,406,10,35,150,2015,98.99
5660,language,1602,9,107,90,2016,55.43
4339,math,1226,9,95,170,2015,72.69
9254,language,2621,11,103,150,2015,67.25
8060,language,2284,12,75,150,2016,100.0
2538,language,719,11,73,150,2015,99.41
7979,math,2263,9,28,150,2016,78.19
8222,language,2331,12,82,130,2016,70.64
685,math,197,9,32,170,2015,89.86
2703,math,765,11,111,150,2016,72.48
3719,math,1054,10,44,110,2015,89.33
1555,math,443,11,3,130,2015,90.08
2944,language,832,11,66,170,2016,96.71
4653,math,1316,9,8,170,2016,31.57
9343,math,2646,9,100,130,2015,24.25
1999,math,570,9,36,170,2015,91.93
1707,math,485,11,35,110,2015,64.15
2529,math,716,12,18,170,2016,82.62
8313,math,2359,11,113,130,2016,26.26
7680,language,2177,9,82,170,2015,72.07
9650,language,2736,10,72,170,2016,91.98
1278,language,362,9,54,130,2016,58.45
10029,math,2839,10,33,110,2015,77.14
381,math,111,10,2,170,2015,82.85
1346,language,383,9,65,110,2015,88.01
9586,language,2718,10,69,130,2015,31.3
8683,math,2461,11,30,170,2015,95.93
4299,math,1215,9,45,170,2015,89.0
8546,language,2423,9,63,170,2015,97.91
2491,math,705,9,50,150,2015,85.48
8732,language,2474,12,103,130,2016,79.26
3340,language,943,11,107,90,2016,56.16
6932,language,1965,9,79,90,2016,80.56
6539,math,1855,11,40,170,2016,82.43
7686,language,2178,11,60,110,2016,83.15
1574,language,447,12,76,90,2016,99.5
3703,math,1049,9,104,150,2016,88.01
9604,language,2723,9,84,110,2016,99.58
1949,math,554,10,34,150,2016,75.7
7933,math,2250,11,31,110,2016,80.99
10044,language,2843,10,61,150,2015,80.66
1222,language,347,12,92,90,2016,46.82
1511,math,430,11,99,170,2016,66.12
5364,language,1516,10,53,110,2016,56.21
6676,language,1892,9,64,170,2015,88.11
4217,math,1193,9,8,110,2016,61.42
8919,math,2528,9,93,170,2015,81.44
4427,math,1250,12,50,130,2016,93.53
1722,language,489,9,64,130,2016,72.32
5853,math,1657,11,115,130,2015,68.37
8028,language,2276,10,83,150,2015,98.15
7275,math,2065,10,21,110,2016,67.0
1205,math,342,12,95,90,2016,57.85
2790,language,790,11,91,150,2016,100.0
6725,math,1906,12,105,150,2016,70.42
5300,language,1496,11,58,90,2015,95.2
9695,math,2748,11,18,110,2015,96.61
457,math,134,12,39,130,2016,20.85
8098,language,2296,11,74,110,2016,85.9
2344,language,665,9,51,110,2015,72.18
10208,language,2888,10,62,90,2016,52.37
9062,language,2566,9,80,90,2016,63.33
1539,math,439,10,29,170,2015,67.82
8390,language,2379,11,83,130,2016,92.44
6327,math,1796,9,45,150,2015,95.43
3988,language,1129,9,55,110,2015,86.71
7619,math,2159,11,46,90,2016,46.15
7365,math,2089,11,26,90,2015,60.54
3540,language,1001,9,54,130,2016,72.36
4398,language,1242,9,54,170,2016,89.57
4563,math,1289,12,91,170,2016,96.21
10529,math,2982,10,3,170,2016,95.34
4089,math,1157,11,10,110,2016,56.19
6108,language,1735,12,80,150,2016,86.67
7094,language,2011,9,91,150,2016,86.13
7035,math,1995,9,100,90,2016,53.45
8186,language,2322,10,74,150,2015,93.36
8164,language,2316,11,77,110,2015,31.68
1766,language,501,11,78,90,2016,57.57
1929,math,549,11,35,110,2015,88.48
7337,math,2082,11,23,170,2015,78.63
6834,language,1938,10,66,90,2016,56.09
10151,math,2872,11,100,130,2016,93.59
7536,language,2137,10,77,170,2016,86.15
5699,math,1613,12,44,170,2016,97.95
4864,language,1376,11,95,130,2015,97.89
1349,math,384,9,109,90,2016,65.22
10034,language,2840,9,80,90,2016,96.03
7192,language,2041,11,54,130,2015,82.52
5069,math,1431,10,45,130,2015,65.72
10183,math,2882,11,29,150,2016,56.21
5658,language,1601,12,54,110,2016,93.81
4565,math,1290,9,41,90,2015,84.83
